Route,Incident,Location,Day,Hour,Month
70,Collision - TTC,O'CONNOR AND CURITY,Friday,17,9
75,Mechanical,O'CONNOR AND WOODBINE,Wednesday,5,8
54,Investigation,EGLINTON AND BRENTCLIF,Thursday,8,5
37,Emergency Services,HUMBERWOOD LOOP,Wednesday,8,6
995,Security,YORK MILLS AND CHIPSTE,Friday,15,9
952,Operations - Operator,ARROW GARAGE,Thursday,6,6
925,Mechanical,FRESH MEADOW AND DON M,Saturday,16,7
86,Mechanical,EGLINTON EAST AND DANF,Thursday,16,7
902,Mechanical,WARDEN STATION,Tuesday,10,9
900,Operations - Operator,PEARSON AIRPORT,Saturday,19,7
60,Security,FINCH STATION,Wednesday,5,8
125,Operations - Operator,BATHURST AND ANTIBES,Friday,10,5
95,Investigation,ELLESMERE AND WARDEN,Saturday,15,2
54,Security,ORTON PARK AND LAWRENC,Sunday,10,3
47,Operations - Operator,YORKDALE STATION,Thursday,14,5
9,General Delay,MCCOWAN AND MARTINDALE,Friday,15,3
60,Operations - Operator,PIONEER VILLAGE STATIO,Wednesday,21,2
15,Diversion,EVANS AND NORTH CARSON,Tuesday,15,6
129,Mechanical,MCCOWAN AND FINCH,Friday,20,9
902,Mechanical,WARDEN STATION,Thursday,16,9
96,Mechanical,WILSON STATION,Wednesday,14,1
44,Mechanical,KIPLING AND EVANS,Wednesday,16,3
79,Utilized Off Route,RUNNYMEDE AND ANNETTE,Tuesday,17,8
939,Utilized Off Route,FINCH AND PHARMACY,Thursday,14,6
944,Mechanical,KIPLIING AND JUTLAND,Friday,12,1
165,Mechanical,WESTON AND LANYARD,Saturday,0,8
89,Mechanical,WESTON AND 401,Wednesday,10,3
95,Operations - Operator,YORK MILLS STATION,Sunday,21,5
131,Mechanical,TRAIL AND SEWELLS,Saturday,23,2
96,Mechanical,WILSON AND JULIAN,Friday,15,4
161,Vision,OSSINGTON STATION,Monday,21,9
63,Operations - Operator,OAKWOOD LOOP,Thursday,19,6
75,Emergency Services,SHERBOURNE STATION,Wednesday,20,3
51,Mechanical,EGLINTON AND MT. PLEAS,Wednesday,11,1
131,Mechanical,NUGGET AND MARKHAM,Thursday,20,2
161,Security,ROGERS AND SILVERTHORN,Saturday,22,5
39,Mechanical,FINCH STATION,Tuesday,20,3
939,Mechanical,FINCH STATION,Wednesday,10,5
131,Mechanical,MALVERN GARAGE,Wednesday,6,3
985,Operations - Operator,SCARBOROUGH CENTRE STA,Monday,15,4
102,Mechanical,MORNINGSIDE AND PASSMO,Saturday,13,9
41,Operations - Operator,KEELE AND DIANA,Thursday,12,7
36,Security,FINCH WEST STATION,Monday,15,6
116,Investigation,MORNINGSIDE AND SHEPPA,Thursday,9,8
36,Collision - TTC,FINCH WEST STATION,Wednesday,9,4
89,Mechanical,WESTON AND WRIGHT,Friday,11,3
96,Operations - Operator,HUMBERWOOD LOOP,Saturday,22,9
939,Operations - Operator,SCARBOROUGH CENTRE STA,Friday,19,5
47,Operations - Operator,YORKDALE STATION,Wednesday,13,7
91,Collision - TTC,BERMONDSEY AND MOBILE,Tuesday,9,9
38,Cleaning - Unsanitary,ROUGE HILL GO STATION,Thursday,11,9
36,Mechanical,FINCH WEST STATION,Thursday,16,6
36,Security,FINCH STATION,Monday,13,7
25,Mechanical,FINCH AND DON MILLS,Sunday,10,3
41,Cleaning - Unsanitary,TRETHEWEY AND EGLINTON,Monday,20,5
995,Security,ELLESMERE AND PHARMACY,Friday,14,3
79,Operations - Operator,MT DENNIS DIVISION,Tuesday,7,1
903,Mechanical,KENNEDY STATION,Tuesday,16,7
62,Mechanical,MORTIMER AND DUNKIRK,Thursday,8,3
47,Operations - Operator,LANSDOWNE AND DUPONT,Thursday,16,3
80,Security,SHERWAY GATE AND EVANS,Friday,6,9
66,Mechanical,BERRY AND PRINCE EDWAR,Tuesday,16,6
968,Operations - Operator,WARDEN AND BAMBURGH CI,Thursday,17,1
35,Mechanical,JANE AND BEVERLY HILLS,Saturday,19,9
79,Mechanical,SCARLETT AND EGLINTON,Saturday,14,2
52,Mechanical,LAWRENCE AND PINE,Saturday,14,3
102,Collision - TTC,WARDEN STATION,Monday,22,8
72,Mechanical,BIRCHMOUNT GARAGE,Thursday,7,2
31,Cleaning - Unsanitary,DANFORTH AND LINNSMORE,Sunday,23,7
80,Mechanical,QUEENSWAY AND EAST MAL,Monday,8,9
36,Operations - Operator,FINCH AND HUMBER COLLE,Wednesday,21,5
72,Mechanical,735 PAPE AVENUE,Sunday,14,3
40,Diversion,49 MABELLE,Saturday,19,9
32,Mechanical,EGLINTON STATION,Saturday,17,8
20,Operations - Operator,MT DENNIS DIVISION,Wednesday,4,1
114,Diversion,HARBOUR AND BAY,Tuesday,15,9
37,Operations - Operator,ISLINGTON AND DUNDAS,Wednesday,18,2
83,Mechanical,JONES AND DANFORTH,Thursday,18,9
44,Mechanical,KIPLING STATION,Saturday,7,5
121,Operations - Operator,FRONT AND PRINCESS,Tuesday,18,7
32,Mechanical,EGLINTON AND DUFFERIN,Tuesday,17,7
63,Operations - Operator,EGLINTON WEST STATION,Saturday,13,6
43,Emergency Services,KENNEDY AND PROGRESS,Monday,10,7
79,Mechanical,RUNNYMEDE STATION,Friday,7,5
67,Emergency Services,VICTORIA PARK STATION,Friday,7,4
960,Operations - Operator,PIONEER VILLAGE STATIO,Wednesday,18,9
24,Mechanical,BIRCHMOUNT GARAGE,Monday,20,4
36,Mechanical,HUMBER COLLEGE AND FIN,Wednesday,20,6
34,Operations - Operator,EGLINTON GARAGE,Tuesday,8,8
75,Emergency Services,LOWER JARVIS AND QUEEN,Saturday,20,4
95,Operations - Operator,ELLESMERE AND MEADOWVA,Thursday,5,6
903,Mechanical,MCNICOLL GARAGE,Saturday,5,2
929,Security,DUFFERIN GATE LOOP,Thursday,21,5
130,Mechanical,SCARBOROUGH TOWN CENTR,Tuesday,14,2
8,Emergency Services,O CONNOR AND PAPE,Wednesday,23,5
40,Operations - Operator,DUNDAS WEST STATION,Friday,13,8
75,Mechanical,LOWER JARVIS AND QUEEN,Tuesday,14,1
7,Mechanical,CARPENTER AND BATHURST,Monday,6,3
95,Operations - Operator,ELLESMERE AND BELLAMY,Thursday,21,7
95,Mechanical,YORK MILLS STATION,Saturday,15,5
79,Operations - Operator,RUNNYMEDE STATION,Friday,6,2
36,Mechanical,HUMBERWOOD AND VIEW GR,Saturday,13,4
29,Mechanical,BLOOR AND DUFFERIN,Tuesday,17,1
41,Utilized Off Route,KEELE AND GLENLAKE,Wednesday,16,3
22,Mechanical,COXWELL STATION,Sunday,14,3
43,Emergency Services,KENNEDY AND GLAMORGAN,Friday,13,6
165,Collision - TTC,WILSON AND CHAMPLAIN,Wednesday,19,7
54,Security,LAWRENCE AND RAILSIDE,Friday,16,8
118,Operations - Operator,WILSON STATION,Monday,8,3
12,Mechanical,VICTORIA PARK STATION,Tuesday,19,6
939,Mechanical,FINCH AND TORREDALE,Friday,20,9
91,General Delay,EGLINTON AND BERMONDSE,Tuesday,18,2
996,Collision - TTC,WILSON AND TRANSIT,Monday,12,6
67,Road Blocked - NON-TTC Collision,ST. CLAIR AND PHARMACY,Wednesday,8,7
76,Mechanical,ROYAL YORK STATION,Friday,5,5
21,Mechanical,SCARBOROUGH CENTRE STA,Sunday,13,3
86,Operations - Operator,CORONATION AND WALLSEN,Saturday,14,8
154,Mechanical,LAWRENCE AND GREENCRES,Friday,8,9
927,Operations - Operator,MARTIN GROVE AND BETTE,Monday,16,6
96,Mechanical,BATHURST AND WILSON,Friday,15,5
38,Operations - Operator,SCABROROUGH CENTRE STA,Saturday,14,6
929,Mechanical,WESTON AND RAY AVE,Monday,6,7
42,Mechanical,FINCH STATION,Monday,15,7
36,Operations - Operator,FINCH AND KENDLETON,Sunday,16,5
41,Operations - Operator,KEELE AND LAWRENCE,Friday,20,1
96,Operations - Operator,HUMBERLINE LOOP,Monday,17,4
95,Diversion,YORK MILLS STATION,Saturday,0,2
900,Emergency Services,KIPLING STATION,Saturday,22,6
29,Mechanical,DUFFERIN AND LAWRENCE,Monday,17,6
47,Utilized Off Route,LANSDOWNE AND WADE,Tuesday,22,9
85,Vision,DON MILLS STATION,Tuesday,7,6
320,Security,YONGE AND COLLEGE,Tuesday,5,9
42,Mechanical,FINCH STATION,Saturday,15,2
54,Emergency Services,EGLINTON STATION,Sunday,9,4
122,Operations - Operator,DUNCAN MILLS AND DON M,Thursday,13,1
36,Mechanical,FINCH WEST STATION,Monday,7,1
72,Operations - Operator,PAPE STATION,Sunday,8,4
89,Emergency Services,KEELE STATION,Friday,20,8
36,Security,FINCH STATION,Friday,1,7
45,Mechanical,KIPLING AND KIDRON VAL,Monday,21,7
54,Diversion,EGLINTON AND LESLIE,Wednesday,7,1
168,Operations - Operator,DUNDAS WEST STATION,Tuesday,14,6
165,Operations - Operator,WILSON AND CLAYSON,Wednesday,22,1
102,Operations - Operator,WARDEN STATION,Saturday,16,6
70,Collision - TTC,ST CLAIR AND O'CONNOR,Monday,12,9
60,Operations - Operator,YONGE AND CUMMER/DREWR,Wednesday,14,1
40,Mechanical,DUNDAS WEST STATION,Thursday,13,2
44,Operations - Operator,KIPLING STATION,Wednesday,7,6
43,Mechanical,KENNEDY AND MUNHAM GAT,Tuesday,8,6
54,Operations - Operator,LAWRENCE AND WARDEN,Wednesday,17,2
116,Mechanical,MORNINGSIDE AND NIGHTS,Monday,16,8
902,Mechanical,MARKHAM AND NUGGET,Monday,9,9
64,Collision - TTC,HALDON AND COSBURN,Sunday,12,8
939,Operations - Operator,FINCH WEST STATION,Friday,14,2
29,Vision,WILSON STATION,Friday,17,8
32,Mechanical,EGLINTON STATION,Monday,9,7
63,Utilized Off Route,EGLINTON WEST STATION,Friday,13,4
14,Vision,EGLINTON AND CHAPLIN,Saturday,5,1
900,Operations - Operator,KIPLING STATION,Saturday,19,3
7,Mechanical,GREENWIN VILLAGE AND B,Wednesday,18,1
45,Mechanical,KIPLING AND REXDALE GA,Monday,7,5
45,Operations - Operator,KIPLING STATION,Tuesday,23,9
131,Mechanical,SCARBOROUGH TOWN CENTR,Friday,22,8
89,General Delay,KEELE AND ANNETTEB,Tuesday,6,6
939,Mechanical,MCCOWAN AND FINCH,Friday,23,6
24,Utilized Off Route,VICTORIA PARK STATION,Monday,13,5
45,Mechanical,KIPLING AND KIDRON VAL,Sunday,18,7
116,Operations - Operator,KENNEDY STATION,Monday,5,9
935,Mechanical,PIONEER VILLAGE STATIO,Wednesday,11,1
84,Mechanical,ELMHURST AND YONGE,Friday,10,4
927,Mechanical,STEELES AND MARTIN GRO,Tuesday,15,6
924,Utilized Off Route,VICTORIA PARK AND ST C,Wednesday,16,9
44,Utilized Off Route,KIPLING STATION,Monday,19,3
996,Emergency Services,WILSON AND TRANSIT,Monday,12,4
98,Diversion,SHEPPARD-YONGE STATION,Wednesday,11,2
108,Mechanical,GRANDRAVINE AND SENTIN,Saturday,13,6
20,Mechanical,MIDLAND AND PARK,Saturday,5,8
960,Collision - TTC,STEELES AND TANGREEN C,Saturday,11,5
25,Utilized Off Route,PAPE STATION,Thursday,21,2
75,Mechanical,BLOOR AND SHERBOURNE,Tuesday,9,2
67,Collision - TTC,EGLINTON AND HAKIM AVE,Thursday,11,3
40,Security,DUNDAS WEST STATION,Thursday,10,5
903,Mechanical,SCARBOROUGH CENTRE STA,Wednesday,11,8
38,Operations - Operator,ELLESMERE AND MARKHAM,Friday,13,3
995,Mechanical,UNIVERSITY OF TORONTO,Wednesday,18,5
60,Operations - Operator,STEELES AND DUFFERIN,Monday,17,6
43,Road Blocked - NON-TTC Collision,KENNEDY AND FINCH,Saturday,16,3
939,Vision,BOROUGH AND TRITON,Sunday,10,9
41,Mechanical,KEELE AND MAPLE LEAF,Monday,14,2
54,Vision,LAWRENCE AND DON MILLS,Saturday,15,8
63,Operations - Operator,OSSINGTON STATION,Friday,19,2
45,Cleaning - Unsanitary,CARLINGVIEW AND ATTWEL,Tuesday,7,7
63,Mechanical,OSSINGTON AND DUNDAS,Saturday,14,7
81,Collision - TTC,PAPE AND CANNING,Wednesday,16,2
903,Cleaning - Unsanitary,KENNEDY STATION,Wednesday,6,5
22,Security,EASTERN AND QUEEN,Saturday,14,5
94,Security,PARLIAMENT AND WELLESL,Monday,15,9
19,Collision - TTC,YONGE AND COLBORNE,Sunday,14,9
32,Operations - Operator,EGLINTON STATION,Thursday,15,9
12,Collision - TTC,BIRCHMOUNT AND KINGSTO,Friday,6,9
38,Utilized Off Route,KENNEDY STATION,Sunday,14,6
116,Operations - Operator,MORNINGSIDE AND LAWREN,Monday,11,9
17,Vision,AVENUE AND ST. GERMAIN,Friday,16,6
130,Emergency Services,MILNER AND MARKHAM,Monday,11,3
24,Operations - Operator,VICTORIA PARK AND CRES,Friday,21,5
996,Operations - Operator,WILSON AND JANE,Wednesday,14,7
32,Mechanical,RENFORTH STATION,Friday,13,1
48,Mechanical,MILL AND RATHBURN,Tuesday,15,5
36,Mechanical,FINCH AND WESTON,Saturday,17,7
12,General Delay,OLD MILL STATION,Sunday,7,9
11,Operations - Operator,SUNNYBROOK HOSPITAL,Friday,7,8
106,Collision - TTC,SHEPPARD AND KEELE (EA,Wednesday,9,4
45,Operations - Operator,KIPLING STATION,Sunday,17,9
929,Mechanical,DUFFERIN AND QUEEN,Thursday,14,3
24,Security,VICTORIA PARK AND ARNC,Monday,9,4
71,Utilized Off Route,RUNNYMEDE STATION,Friday,18,4
116,Mechanical,KENNEDY STATION,Wednesday,15,1
927,Security,STEELES LOOP (MARTINGR,Wednesday,22,4
7,Investigation,BATHURST AND ROCKFORD,Saturday,9,3
77,General Delay,MORNINGSIDE AND WINDER,Thursday,17,2
902,Mechanical,WARDEN STATION,Friday,15,1
37,Operations - Operator,ISLINGTON AND STEELES,Sunday,7,2
36,Security,FINCH WEST STATION,Friday,20,3
95,Mechanical,YORK MILLS AND DON MIL,Saturday,8,6
40,Mechanical,JANE AND ST CLAIR,Friday,11,6
952,Mechanical,DIXON AND ROYAL YORK,Thursday,7,4
91,Operations - Operator,UNDERHILL AND CASSANDR,Wednesday,13,7
14,Security,CHAPLIN CRES AND EGLIN,Saturday,22,3
130,Mechanical,MCCOWAN AND SHEPPARD E,Wednesday,12,9
53,Operations - Operator,PASSMORE AND MORNINGSI,Monday,9,3
85,Mechanical,VICTORIA PARK AND SHEP,Sunday,15,3
929,Collision - TTC,SPRINGHURST LOOP,Saturday,23,9
108,General Delay,KEELE AND ST. REGIS,Wednesday,17,2
14,Diversion,CHAPLIN AND AVENUE,Monday,16,4
939,Collision - TTC,FINCH AND DON MILLS,Tuesday,10,7
900,Vision,KIPLING STATION,Tuesday,6,5
36,Mechanical,HUMBER COLLEGE AND FIN,Wednesday,14,1
39,Operations - Operator,FINCH AND MILIKEN,Tuesday,22,3
36,Security,FINCH AND DRIFTWOOD,Sunday,23,2
14,General Delay,DAVISVILLE AND YONGE,Wednesday,9,5
32,Operations - Operator,EGLINTON STATION,Tuesday,19,3
36,Security,FINCH AND MILVAN,Tuesday,20,9
116,Operations - Operator,EGLINTON AND MARKHAM,Saturday,19,8
131,Cleaning - Unsanitary,KENNEDY STATION,Wednesday,12,1
905,Diversion,KENNEDY STATION,Saturday,14,2
900,Cleaning - Unsanitary,QUEENSWAY GARAGE,Thursday,16,7
52,Mechanical,TORONTO PEARSON AIRPOR,Thursday,5,6
300,Security,DANFORTH AND DRAYTON,Friday,2,1
52,Operations - Operator,EGLINTON STATION,Saturday,19,7
52,Operations - Operator,DIXON AND ST PHILLIPS,Wednesday,13,3
24,Security,VICTORIA PARK AND LAWR,Friday,14,3
47,Operations - Operator,LANSDOWNE AND BLOOR,Monday,22,2
119,Diversion,TORBARRIE AND SERGIO M,Tuesday,10,5
98,Emergency Services,SHEPPARD AND YONGE,Thursday,6,6
935,General Delay,JANE AND SHEPPARD,Thursday,20,5
7,Collision - TTC,GREENWIN VILLAGE AND E,Friday,17,9
41,Collision - TTC,KEELE AND ANNETTE,Monday,9,6
95,Mechanical,ELLESMERE AND CALVERLE,Monday,16,4
53,Cleaning - Unsanitary,MORNINGSIDE AND PASSMO,Wednesday,8,6
16,Road Blocked - NON-TTC Collision,MCCOWAN AND ELLESMERE,Tuesday,1,7
57,Diversion,MIDLAND AND STEELES,Thursday,19,5
95,Operations - Operator,RYLANDER AND KINGSTON,Friday,13,1
85,Security,SHEPPARD AND BROWNSPRI,Sunday,15,3
34,Collision - TTC,EGLINTON AND ROSEMOUNT,Friday,7,8
935,Mechanical,PIONEER VILLAGE STATIO,Saturday,13,3
85,Mechanical,SHEPPARD YONGE STATION,Thursday,6,1
39,Mechanical,FINCH AND MIDLAND,Sunday,22,7
32,Operations - Operator,RENFORTH STATION,Thursday,7,7
63,Security,OSSINGTON AND DUNDAS,Monday,22,8
25,Security,BROADVIEW STATION,Friday,11,7
900,Mechanical,KIPLING STATION,Tuesday,21,8
165,Mechanical,WESTON AND SHEPPARD,Saturday,14,9
135,Operations - Operator,MAIN AND GERRARD,Thursday,9,7
85,Security,SHEPPARD AND NEILSON,Monday,14,6
39,Investigation,FINCH AND SANDHURST,Tuesday,8,9
36,Mechanical,FINCH AND ALBION,Sunday,13,4
43,Security,KENNEDY AND CORNWALLS,Saturday,12,9
900,Emergency Services,PEARSON AIRPORT TERMIN,Tuesday,22,4
38,Mechanical,ROUGE HILL GO STATION,Thursday,16,7
64,Mechanical,BROADVIEW AND POTTERY,Saturday,17,5
165,Vision,WESTON AND STEELES,Tuesday,15,2
69,Operations - Operator,WARDEN STATION,Thursday,17,1
75,Operations - Operator,LOWER JARVIS AND QUEEN,Saturday,12,7
39,Mechanical,OLD FINCH AND LITTLES,Friday,10,7
929,Operations - Operator,BLOOR AND DUFFERIN,Friday,15,1
76,Utilized Off Route,ROYAL YORK STATION,Sunday,12,5
123,Investigation,EVANS AND GAIR,Wednesday,18,3
70,Mechanical,COXWELL STATION,Wednesday,15,5
939,Mechanical,VICTORIA PARK AND FINC,Tuesday,18,7
16,Mechanical,MCCOWAN AND LAWRENCE,Wednesday,12,2
165,Emergency Services,WILSON AND JANE,Saturday,1,5
32,Operations - Operator,EGLINTON AND KEELE,Tuesday,15,8
95,Collision - TTC,ELLESMERE AND KENNEDY,Friday,16,8
79,Mechanical,RUNNYMEDE STATION,Tuesday,8,7
960,Operations - Operator,SIGNAL HILL AND STEELE,Saturday,15,7
96,Cleaning - Unsanitary,CARRIER AND HIGHWAY 27,Thursday,4,8
111,Mechanical,KIPLING STATION,Friday,0,8
53,Mechanical,YONGE AND STEELES,Saturday,15,2
64,Security,COSBURN AND LOGAN,Sunday,18,9
985,Collision - TTC,MIDLAND AND GOODLAND,Saturday,19,5
39,Vision,FINCH AND VICTORIA PAR,Friday,7,1
960,Mechanical,STEELES AND MARTIN GRO,Sunday,9,1
11,Mechanical,ROE LOOP,Tuesday,10,8
100,Mechanical,ST DENNIS AND DEAUVILL,Friday,16,3
64,Mechanical,MAIN STREET STATION,Tuesday,10,2
32,Operations - Operator,HILLSDALE AND YONGE,Wednesday,7,8
108,Cleaning - Unsanitary,SHEPPARD WEST STATION,Wednesday,13,2
52,Security,LAWRENCE AND JANE,Saturday,0,2
995,Mechanical,YORK MILLS STATION,Tuesday,11,7
129,Security,SCARBOROUGH CENTRE STA,Sunday,17,2
46,Mechanical,VIKING LN AND KIPLING,Wednesday,8,9
35,Mechanical,JANE AND EGLINTON,Wednesday,17,4
953,Vision,STEELES AND KENNEDY,Monday,9,6
41,Mechanical,KEELE AND EGLINTON,Thursday,10,1
15,Mechanical,KIPLING AND STEELES,Tuesday,3,4
165,Mechanical,OLD WESTON AND STEELES,Saturday,7,3
52,Mechanical,LAWRENCE AND PINE,Saturday,14,8
75,Mechanical,BLOOR AND SHERBOURNE,Thursday,11,2
905,Operations - Operator,EGLINTON AND MARKHAM,Saturday,13,1
116,Mechanical,EGLINTON AND MARKHAM,Saturday,15,8
82,General Delay,SCHOFIELD AND GLEN,Friday,17,3
160,Emergency Services,ATKINSIN AND CAMPBELL,Monday,8,4
92,Operations - Operator,WOODBINE STATION,Saturday,13,6
41,General Delay,CALVINGTON AND KEELE,Sunday,14,4
41,Mechanical,WESTON AND NORTHLAND,Monday,6,9
160,Operations - Operator,WILSON STATION,Tuesday,6,9
34,Mechanical,EGLINTON STATION,Thursday,21,4
925,Emergency Services,DON MILLS,Saturday,11,1
97,Cleaning - Unsanitary,YONGE AND ST. CLAIR,Thursday,15,5
35,Collision - TTC,JANE AND TRETHEWEY,Friday,17,7
996,Security,WILSON STATION,Monday,14,7
160,Mechanical,BATHURST AND BAINBRIDG,Thursday,10,9
903,Vision,CENTENNIAL COLLEGE,Friday,15,7
1,Security,YONGE AND CASTLEFIELD,Tuesday,1,4
89,Mechanical,KEELE STATION,Friday,8,7
102,Mechanical,IRONSIDE AND TAPSCOTT,Saturday,5,9
95,Mechanical,ELLESMERE AND ZAPH,Saturday,14,4
71,Utilized Off Route,RUNNYMEDE STATION,Monday,14,4
99,Mechanical,WESTON AND BRADSTOCK,Friday,16,1
63,Operations - Operator,OAKWOOD AND ST CLAIR,Thursday,15,9
