,Route,Incident,Location,Day,Hour,Month
17212,161,Security,ROGERS AND SILVERTHORN,Saturday,22,5
9400,39,Mechanical,FINCH STATION,Tuesday,20,3
14782,939,Mechanical,FINCH STATION,Wednesday,10,5
9424,131,Mechanical,MALVERN GARAGE,Wednesday,6,3
14554,985,Operations - Operator,SCARBOROUGH CENTRE STA,Monday,15,4
32244,102,Mechanical,MORNINGSIDE AND PASSMO,Saturday,13,9
23548,41,Operations - Operator,KEELE AND DIANA,Thursday,12,7
22299,36,Security,FINCH WEST STATION,Monday,15,6
27495,116,Investigation,MORNINGSIDE AND SHEPPA,Thursday,9,8
12021,36,Collision - TTC,FINCH WEST STATION,Wednesday,9,4
9698,89,Mechanical,WESTON AND WRIGHT,Friday,11,3
32300,96,Operations - Operator,HUMBERWOOD LOOP,Saturday,22,9
16089,939,Operations - Operator,SCARBOROUGH CENTRE STA,Friday,19,5
26464,47,Operations - Operator,YORKDALE STATION,Wednesday,13,7
34408,91,Collision - TTC,BERMONDSEY AND MOBILE,Tuesday,9,9
33779,38,Cleaning - Unsanitary,ROUGE HILL GO STATION,Thursday,11,9
21745,36,Mechanical,FINCH WEST STATION,Thursday,16,6
25320,36,Security,FINCH STATION,Monday,13,7
10790,25,Mechanical,FINCH AND DON MILLS,Sunday,10,3
17352,41,Cleaning - Unsanitary,TRETHEWEY AND EGLINTON,Monday,20,5
7259,995,Security,ELLESMERE AND PHARMACY,Friday,14,3
1027,79,Operations - Operator,MT DENNIS DIVISION,Tuesday,7,1
25525,903,Mechanical,KENNEDY STATION,Tuesday,16,7
8741,62,Mechanical,MORTIMER AND DUNKIRK,Thursday,8,3
9618,47,Operations - Operator,LANSDOWNE AND DUPONT,Thursday,16,3
32054,80,Security,SHERWAY GATE AND EVANS,Friday,6,9
22484,66,Mechanical,BERRY AND PRINCE EDWAR,Tuesday,16,6
3145,968,Operations - Operator,WARDEN AND BAMBURGH CI,Thursday,17,1
34985,35,Mechanical,JANE AND BEVERLY HILLS,Saturday,19,9
4131,79,Mechanical,SCARLETT AND EGLINTON,Saturday,14,2
7381,52,Mechanical,LAWRENCE AND PINE,Saturday,14,3
28999,102,Collision - TTC,WARDEN STATION,Monday,22,8
5427,72,Mechanical,BIRCHMOUNT GARAGE,Thursday,7,2
25246,31,Cleaning - Unsanitary,DANFORTH AND LINNSMORE,Sunday,23,7
33332,80,Mechanical,QUEENSWAY AND EAST MAL,Monday,8,9
14882,36,Operations - Operator,FINCH AND HUMBER COLLE,Wednesday,21,5
10808,72,Mechanical,735 PAPE AVENUE,Sunday,14,3
34983,40,Diversion,49 MABELLE,Saturday,19,9
31466,32,Mechanical,EGLINTON STATION,Saturday,17,8
1176,20,Operations - Operator,MT DENNIS DIVISION,Wednesday,4,1
31758,114,Diversion,HARBOUR AND BAY,Tuesday,15,9
4579,37,Operations - Operator,ISLINGTON AND DUNDAS,Wednesday,18,2
33836,83,Mechanical,JONES AND DANFORTH,Thursday,18,9
16113,44,Mechanical,KIPLING STATION,Saturday,7,5
27270,121,Operations - Operator,FRONT AND PRINCESS,Tuesday,18,7
26370,32,Mechanical,EGLINTON AND DUFFERIN,Tuesday,17,7
19870,63,Operations - Operator,EGLINTON WEST STATION,Saturday,13,6
23173,43,Emergency Services,KENNEDY AND PROGRESS,Monday,10,7
15058,79,Mechanical,RUNNYMEDE STATION,Friday,7,5
14079,67,Emergency Services,VICTORIA PARK STATION,Friday,7,4
33689,960,Operations - Operator,PIONEER VILLAGE STATIO,Wednesday,18,9
13601,24,Mechanical,BIRCHMOUNT GARAGE,Monday,20,4
21605,36,Mechanical,HUMBER COLLEGE AND FIN,Wednesday,20,6
29947,34,Operations - Operator,EGLINTON GARAGE,Tuesday,8,8
14374,75,Emergency Services,LOWER JARVIS AND QUEEN,Saturday,20,4
21637,95,Operations - Operator,ELLESMERE AND MEADOWVA,Thursday,5,6
4080,903,Mechanical,MCNICOLL GARAGE,Saturday,5,2
15970,929,Security,DUFFERIN GATE LOOP,Thursday,21,5
4409,130,Mechanical,SCARBOROUGH TOWN CENTR,Tuesday,14,2
17672,8,Emergency Services,O CONNOR AND PAPE,Wednesday,23,5
29438,40,Operations - Operator,DUNDAS WEST STATION,Friday,13,8
1986,75,Mechanical,LOWER JARVIS AND QUEEN,Tuesday,14,1
9229,7,Mechanical,CARPENTER AND BATHURST,Monday,6,3
25805,95,Operations - Operator,ELLESMERE AND BELLAMY,Thursday,21,7
17176,95,Mechanical,YORK MILLS STATION,Saturday,15,5
5585,79,Operations - Operator,RUNNYMEDE STATION,Friday,6,2
12482,36,Mechanical,HUMBERWOOD AND VIEW GR,Saturday,13,4
2804,29,Mechanical,BLOOR AND DUFFERIN,Tuesday,17,1
10396,41,Utilized Off Route,KEELE AND GLENLAKE,Wednesday,16,3
9991,22,Mechanical,COXWELL STATION,Sunday,14,3
20699,43,Emergency Services,KENNEDY AND GLAMORGAN,Friday,13,6
26531,165,Collision - TTC,WILSON AND CHAMPLAIN,Wednesday,19,7
29465,54,Security,LAWRENCE AND RAILSIDE,Friday,16,8
8350,118,Operations - Operator,WILSON STATION,Monday,8,3
20284,12,Mechanical,VICTORIA PARK STATION,Tuesday,19,6
34000,939,Mechanical,FINCH AND TORREDALE,Friday,20,9
5269,91,General Delay,EGLINTON AND BERMONDSE,Tuesday,18,2
22279,996,Collision - TTC,WILSON AND TRANSIT,Monday,12,6
26431,67,Road Blocked - NON-TTC Collision,ST. CLAIR AND PHARMACY,Wednesday,8,7
16965,76,Mechanical,ROYAL YORK STATION,Friday,5,5
9985,21,Mechanical,SCARBOROUGH CENTRE STA,Sunday,13,3
31442,86,Operations - Operator,CORONATION AND WALLSEN,Saturday,14,8
32971,154,Mechanical,LAWRENCE AND GREENCRES,Friday,8,9
22309,927,Operations - Operator,MARTIN GROVE AND BETTE,Monday,16,6
17873,96,Mechanical,BATHURST AND WILSON,Friday,15,5
19875,38,Operations - Operator,SCABROROUGH CENTRE STA,Saturday,14,6
27066,929,Mechanical,WESTON AND RAY AVE,Monday,6,7
24193,42,Mechanical,FINCH STATION,Monday,15,7
15357,36,Operations - Operator,FINCH AND KENDLETON,Sunday,16,5
656,41,Operations - Operator,KEELE AND LAWRENCE,Friday,20,1
12761,96,Operations - Operator,HUMBERLINE LOOP,Monday,17,4
6547,95,Diversion,YORK MILLS STATION,Saturday,0,2
20907,900,Emergency Services,KIPLING STATION,Saturday,22,6
21124,29,Mechanical,DUFFERIN AND LAWRENCE,Monday,17,6
32666,47,Utilized Off Route,LANSDOWNE AND WADE,Tuesday,22,9
19256,85,Vision,DON MILLS STATION,Tuesday,7,6
33445,320,Security,YONGE AND COLLEGE,Tuesday,5,9
6487,42,Mechanical,FINCH STATION,Saturday,15,2
11648,54,Emergency Services,EGLINTON STATION,Sunday,9,4
3107,122,Operations - Operator,DUNCAN MILLS AND DON M,Thursday,13,1
1820,36,Mechanical,FINCH WEST STATION,Monday,7,1
14405,72,Operations - Operator,PAPE STATION,Sunday,8,4
29516,89,Emergency Services,KEELE STATION,Friday,20,8
24911,36,Security,FINCH STATION,Friday,1,7
26257,45,Mechanical,KIPLING AND KIDRON VAL,Monday,21,7
2064,54,Diversion,EGLINTON AND LESLIE,Wednesday,7,1
20228,168,Operations - Operator,DUNDAS WEST STATION,Tuesday,14,6
360,165,Operations - Operator,WILSON AND CLAYSON,Wednesday,22,1
23018,102,Operations - Operator,WARDEN STATION,Saturday,16,6
35154,70,Collision - TTC,ST CLAIR AND O'CONNOR,Monday,12,9
2097,60,Operations - Operator,YONGE AND CUMMER/DREWR,Wednesday,14,1
7089,40,Mechanical,DUNDAS WEST STATION,Thursday,13,2
21426,44,Operations - Operator,KIPLING STATION,Wednesday,7,6
21235,43,Mechanical,KENNEDY AND MUNHAM GAT,Tuesday,8,6
6151,54,Operations - Operator,LAWRENCE AND WARDEN,Wednesday,17,2
28965,116,Mechanical,MORNINGSIDE AND NIGHTS,Monday,16,8
34280,902,Mechanical,MARKHAM AND NUGGET,Monday,9,9
27958,64,Collision - TTC,HALDON AND COSBURN,Sunday,12,8
5635,939,Operations - Operator,FINCH WEST STATION,Friday,14,2
29481,29,Vision,WILSON STATION,Friday,17,8
24142,32,Mechanical,EGLINTON STATION,Monday,9,7
14147,63,Utilized Off Route,EGLINTON WEST STATION,Friday,13,4
1609,14,Vision,EGLINTON AND CHAPLIN,Saturday,5,1
7416,900,Operations - Operator,KIPLING STATION,Saturday,19,3
3000,7,Mechanical,GREENWIN VILLAGE AND B,Wednesday,18,1
15410,45,Mechanical,KIPLING AND REXDALE GA,Monday,7,5
32668,45,Operations - Operator,KIPLING STATION,Tuesday,23,9
29536,131,Mechanical,SCARBOROUGH TOWN CENTR,Friday,22,8
19238,89,General Delay,KEELE AND ANNETTEB,Tuesday,6,6
19820,939,Mechanical,MCCOWAN AND FINCH,Friday,23,6
16436,24,Utilized Off Route,VICTORIA PARK STATION,Monday,13,5
27033,45,Mechanical,KIPLING AND KIDRON VAL,Sunday,18,7
32403,116,Operations - Operator,KENNEDY STATION,Monday,5,9
246,935,Mechanical,PIONEER VILLAGE STATIO,Wednesday,11,1
12332,84,Mechanical,ELMHURST AND YONGE,Friday,10,4
21327,927,Mechanical,STEELES AND MARTIN GRO,Tuesday,15,6
33672,924,Utilized Off Route,VICTORIA PARK AND ST C,Wednesday,16,9
10117,44,Utilized Off Route,KIPLING STATION,Monday,19,3
12717,996,Emergency Services,WILSON AND TRANSIT,Monday,12,4
4514,98,Diversion,SHEPPARD-YONGE STATION,Wednesday,11,2
22001,108,Mechanical,GRANDRAVINE AND SENTIN,Saturday,13,6
31388,20,Mechanical,MIDLAND AND PARK,Saturday,5,8
17974,960,Collision - TTC,STEELES AND TANGREEN C,Saturday,11,5
7158,25,Utilized Off Route,PAPE STATION,Thursday,21,2
4389,75,Mechanical,BLOOR AND SHERBOURNE,Tuesday,9,2
10487,67,Collision - TTC,EGLINTON AND HAKIM AVE,Thursday,11,3
18616,40,Security,DUNDAS WEST STATION,Thursday,10,5
30930,903,Mechanical,SCARBOROUGH CENTRE STA,Wednesday,11,8
8046,38,Operations - Operator,ELLESMERE AND MARKHAM,Friday,13,3
16797,995,Mechanical,UNIVERSITY OF TORONTO,Wednesday,18,5
21128,60,Operations - Operator,STEELES AND DUFFERIN,Monday,17,6
8204,43,Road Blocked - NON-TTC Collision,KENNEDY AND FINCH,Saturday,16,3
31540,939,Vision,BOROUGH AND TRITON,Sunday,10,9
5948,41,Mechanical,KEELE AND MAPLE LEAF,Monday,14,2
31444,54,Vision,LAWRENCE AND DON MILLS,Saturday,15,8
6408,63,Operations - Operator,OSSINGTON STATION,Friday,19,2
26274,45,Cleaning - Unsanitary,CARLINGVIEW AND ATTWEL,Tuesday,7,7
23880,63,Mechanical,OSSINGTON AND DUNDAS,Saturday,14,7
6984,81,Collision - TTC,PAPE AND CANNING,Wednesday,16,2
15705,903,Cleaning - Unsanitary,KENNEDY STATION,Wednesday,6,5
17160,22,Security,EASTERN AND QUEEN,Saturday,14,5
34326,94,Security,PARLIAMENT AND WELLESL,Monday,15,9
31562,19,Collision - TTC,YONGE AND COLBORNE,Sunday,14,9
31995,32,Operations - Operator,EGLINTON STATION,Thursday,15,9
34748,12,Collision - TTC,BIRCHMOUNT AND KINGSTO,Friday,6,9
22152,38,Utilized Off Route,KENNEDY STATION,Sunday,14,6
31642,116,Operations - Operator,MORNINGSIDE AND LAWREN,Monday,11,9
19782,17,Vision,AVENUE AND ST. GERMAIN,Friday,16,6
7532,130,Emergency Services,MILNER AND MARKHAM,Monday,11,3
16100,24,Operations - Operator,VICTORIA PARK AND CRES,Friday,21,5
23435,996,Operations - Operator,WILSON AND JANE,Wednesday,14,7
2351,32,Mechanical,RENFORTH STATION,Friday,13,1
16646,48,Mechanical,MILL AND RATHBURN,Tuesday,15,5
25047,36,Mechanical,FINCH AND WESTON,Saturday,17,7
35029,12,General Delay,OLD MILL STATION,Sunday,7,9
28525,11,Operations - Operator,SUNNYBROOK HOSPITAL,Friday,7,8
12951,106,Collision - TTC,SHEPPARD AND KEELE (EA,Wednesday,9,4
35081,45,Operations - Operator,KIPLING STATION,Sunday,17,9
10500,929,Mechanical,DUFFERIN AND QUEEN,Thursday,14,3
14517,24,Security,VICTORIA PARK AND ARNC,Monday,9,4
13282,71,Utilized Off Route,RUNNYMEDE STATION,Friday,18,4
3803,116,Mechanical,KENNEDY STATION,Wednesday,15,1
11238,927,Security,STEELES LOOP (MARTINGR,Wednesday,22,4
8153,7,Investigation,BATHURST AND ROCKFORD,Saturday,9,3
5522,77,General Delay,MORNINGSIDE AND WINDER,Thursday,17,2
2372,902,Mechanical,WARDEN STATION,Friday,15,1
5849,37,Operations - Operator,ISLINGTON AND STEELES,Sunday,7,2
8103,36,Security,FINCH WEST STATION,Friday,20,3
18900,95,Mechanical,YORK MILLS AND DON MIL,Saturday,8,6
22850,40,Mechanical,JANE AND ST CLAIR,Friday,11,6
11274,952,Mechanical,DIXON AND ROYAL YORK,Thursday,7,4
27360,91,Operations - Operator,UNDERHILL AND CASSANDR,Wednesday,13,7
10753,14,Security,CHAPLIN CRES AND EGLIN,Saturday,22,3
34535,130,Mechanical,MCCOWAN AND SHEPPARD E,Wednesday,12,9
8364,53,Operations - Operator,PASSMORE AND MORNINGSI,Monday,9,3
7467,85,Mechanical,VICTORIA PARK AND SHEP,Sunday,15,3
34149,929,Collision - TTC,SPRINGHURST LOOP,Saturday,23,9
5372,108,General Delay,KEELE AND ST. REGIS,Wednesday,17,2
13559,14,Diversion,CHAPLIN AND AVENUE,Monday,16,4
27215,939,Collision - TTC,FINCH AND DON MILLS,Tuesday,10,7
18293,900,Vision,KIPLING STATION,Tuesday,6,5
2934,36,Mechanical,HUMBER COLLEGE AND FIN,Wednesday,14,1
8582,39,Operations - Operator,FINCH AND MILIKEN,Tuesday,22,3
5910,36,Security,FINCH AND DRIFTWOOD,Sunday,23,2
18443,14,General Delay,DAVISVILLE AND YONGE,Wednesday,9,5
9391,32,Operations - Operator,EGLINTON STATION,Tuesday,19,3
31788,36,Security,FINCH AND MILVAN,Tuesday,20,9
30523,116,Operations - Operator,EGLINTON AND MARKHAM,Saturday,19,8
2919,131,Cleaning - Unsanitary,KENNEDY STATION,Wednesday,12,1
5776,905,Diversion,KENNEDY STATION,Saturday,14,2
23591,900,Cleaning - Unsanitary,QUEENSWAY GARAGE,Thursday,16,7
19556,52,Mechanical,TORONTO PEARSON AIRPOR,Thursday,5,6
3183,300,Security,DANFORTH AND DRAYTON,Friday,2,1
23932,52,Operations - Operator,EGLINTON STATION,Saturday,19,7
8641,52,Operations - Operator,DIXON AND ST PHILLIPS,Wednesday,13,3
8944,24,Security,VICTORIA PARK AND LAWR,Friday,14,3
5163,47,Operations - Operator,LANSDOWNE AND BLOOR,Monday,22,2
18323,119,Diversion,TORBARRIE AND SERGIO M,Tuesday,10,5
20460,98,Emergency Services,SHEPPARD AND YONGE,Thursday,6,6
18676,935,General Delay,JANE AND SHEPPARD,Thursday,20,5
34810,7,Collision - TTC,GREENWIN VILLAGE AND E,Friday,17,9
20058,41,Collision - TTC,KEELE AND ANNETTE,Monday,9,6
10913,95,Mechanical,ELLESMERE AND CALVERLE,Monday,16,4
20324,53,Cleaning - Unsanitary,MORNINGSIDE AND PASSMO,Wednesday,8,6
27298,16,Road Blocked - NON-TTC Collision,MCCOWAN AND ELLESMERE,Tuesday,1,7
15021,57,Diversion,MIDLAND AND STEELES,Thursday,19,5
1478,95,Operations - Operator,RYLANDER AND KINGSTON,Friday,13,1
9182,85,Security,SHEPPARD AND BROWNSPRI,Sunday,15,3
31220,34,Collision - TTC,EGLINTON AND ROSEMOUNT,Friday,7,8
9894,935,Mechanical,PIONEER VILLAGE STATIO,Saturday,13,3
1294,85,Mechanical,SHEPPARD YONGE STATION,Thursday,6,1
26139,39,Mechanical,FINCH AND MIDLAND,Sunday,22,7
26574,32,Operations - Operator,RENFORTH STATION,Thursday,7,7
29002,63,Security,OSSINGTON AND DUNDAS,Monday,22,8
24797,25,Security,BROADVIEW STATION,Friday,11,7
30870,900,Mechanical,KIPLING STATION,Tuesday,21,8
32255,165,Mechanical,WESTON AND SHEPPARD,Saturday,14,9
26584,135,Operations - Operator,MAIN AND GERRARD,Thursday,9,7
22290,85,Security,SHEPPARD AND NEILSON,Monday,14,6
31718,39,Investigation,FINCH AND SANDHURST,Tuesday,8,9
14427,36,Mechanical,FINCH AND ALBION,Sunday,13,4
34917,43,Security,KENNEDY AND CORNWALLS,Saturday,12,9
12910,900,Emergency Services,PEARSON AIRPORT TERMIN,Tuesday,22,4
26621,38,Mechanical,ROUGE HILL GO STATION,Thursday,16,7
16198,64,Mechanical,BROADVIEW AND POTTERY,Saturday,17,5
5246,165,Vision,WESTON AND STEELES,Tuesday,15,2
494,69,Operations - Operator,WARDEN STATION,Thursday,17,1
24984,75,Operations - Operator,LOWER JARVIS AND QUEEN,Saturday,12,7
25839,39,Mechanical,OLD FINCH AND LITTLES,Friday,10,7
3274,929,Operations - Operator,BLOOR AND DUFFERIN,Friday,15,1
16285,76,Utilized Off Route,ROYAL YORK STATION,Sunday,12,5
7848,123,Investigation,EVANS AND GAIR,Wednesday,18,3
18478,70,Mechanical,COXWELL STATION,Wednesday,15,5
25551,939,Mechanical,VICTORIA PARK AND FINC,Tuesday,18,7
5333,16,Mechanical,MCCOWAN AND LAWRENCE,Wednesday,12,2
16244,165,Emergency Services,WILSON AND JANE,Saturday,1,5
29075,32,Operations - Operator,EGLINTON AND KEELE,Tuesday,15,8
27748,95,Collision - TTC,ELLESMERE AND KENNEDY,Friday,16,8
24282,79,Mechanical,RUNNYMEDE STATION,Tuesday,8,7
25016,960,Operations - Operator,SIGNAL HILL AND STEELE,Saturday,15,7
28370,96,Cleaning - Unsanitary,CARRIER AND HIGHWAY 27,Thursday,4,8
31382,111,Mechanical,KIPLING STATION,Friday,0,8
4898,53,Mechanical,YONGE AND STEELES,Saturday,15,2
34211,64,Security,COSBURN AND LOGAN,Sunday,18,9
15277,985,Collision - TTC,MIDLAND AND GOODLAND,Saturday,19,5
